# (use the command "$ sed -e '/^#/d' -e 's/#.*$//' <filename>" to remove comments)
# Sample Temperature: 2.7579504299163817
#   Initial Sweeps: 100
#            Width: 2
#        Generator: Xorshift
#    Sweep Pattern: IterSweep
# Total Sweep Time: 0.21221440400000002
# Total Histogram Time: 0.002112146
#   Temperature        E (10)        C (10)       E (100)       C (100)      E (1000)      C (1000)     E (10000)     C (10000)    E (100000)    C (100000)   E (1000000)   C (1000000)
           1.98            -2             0    -1.8844774    0.11105999    -1.8728948    0.12144404    -1.8706235    0.12459664     -1.870286    0.12466988    -1.8667564    0.12814877
           1.99            -2             0    -1.8822474    0.11193634    -1.8704566    0.12237329    -1.8681216    0.12558946    -1.8677828    0.12565332    -1.8641833     0.1291633
              2            -2             0         -1.88        0.1128        -1.868      0.123288       -1.8656    0.12656832      -1.86526    0.12662257      -1.86159    0.13016334
           2.01            -2             0    -1.8777355    0.11365087    -1.8655252    0.12418807     -1.863059    0.12753313     -1.862718    0.12757751    -1.8589769    0.13114877
           2.02            -2             0    -1.8754541    0.11448888    -1.8630326    0.12507341    -1.8604988    0.12848381     -1.860157    0.12851807    -1.8563441    0.13211952
           2.03            -2             0     -1.873156    0.11531394    -1.8605224    0.12594396    -1.8579197    0.12942026    -1.8575773    0.12944416    -1.8536922     0.1330755
           2.04            -2             0    -1.8708416    0.11612598    -1.8579949    0.12679966    -1.8553221     0.1303424    -1.8549793    0.13035571    -1.8510212    0.13401663
           2.05            -2             0     -1.868511    0.11692495    -1.8554505    0.12764043    -1.8527061    0.13125018    -1.8523632    0.13125264    -1.8483316    0.13494285
           2.06            -2             0    -1.8661647     0.1177108    -1.8528894    0.12846624    -1.8500721    0.13214353    -1.8497293    0.13213492    -1.8456236    0.13585408
           2.07            -2             0    -1.8638027    0.11848346    -1.8503119    0.12927704    -1.8474205    0.13302239    -1.8470779    0.13300247    -1.8428975    0.13675029
           2.08            -2             0    -1.8614254     0.1192429    -1.8477184     0.1300728    -1.8447513    0.13388671    -1.8444093    0.13385526    -1.8401537    0.13763142
           2.09            -2             0    -1.8590331    0.11998909    -1.8451091    0.13085349    -1.8420651    0.13473646    -1.8417238    0.13469325    -1.8373924    0.13849743
            2.1            -2             0    -1.8566259    0.12072199    -1.8424844    0.13161908     -1.839362    0.13557161    -1.8390217     0.1355164    -1.8346139     0.1393483
           2.11            -2             0    -1.8542043    0.12144158    -1.8398445    0.13236957    -1.8366423    0.13639212    -1.8363033    0.13632471    -1.8318186      0.140184
           2.12            -2             0    -1.8517684    0.12214785    -1.8371897    0.13310494    -1.8339064    0.13719798    -1.8335688    0.13711814    -1.8290066     0.1410045
